# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1756058168054000000,1756058221216000000,3
NonBlockingReadAction.failedExecutionTimeUs,1756058168054000000,1756058221216000000,533140
NonBlockingReadAction.finalizedExecutionTimeUs,1756058168054000000,1756058221216000000,1159796
AWTEventQueue.dispatchTimeTotalNS,1756058168054000000,1756058221216000000,3420888512
NonBlockingReadAction.finalizedExecutionsCount,1756058168054000000,1756058221216000000,547
workspaceModel.collect.changes.ms,1756058168054000000,1756058221216000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1756058168054000000,1756058221216000000,0
workspaceModel.cachedValue.calculated.count,1756058168054000000,1756058221216000000,12
workspaceModel.replace.project.model.ms,1756058168054000000,1756058221216000000,0
workspaceModel.init.bridges.ms,1756058168054000000,1756058221216000000,4
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1756058168054000000,1756058221216000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1756058168054000000,1756058221216000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1756058168054000000,1756058221216000000,0
workspaceModel.to.snapshot.ms,1756058168054000000,1756058221216000000,1
workspaceModel.cachedValue.clear.count,1756058168054000000,1756058221216000000,0
workspaceModel.cachedValue.total.get.count,1756058168054000000,1756058221216000000,931
workspaceModel.workspaceFileIndexData.processFileSets.ms,1756058168054000000,1756058221216000000,0
workspaceModel.updates.ms,1756058168054000000,1756058221216000000,50
workspaceModel.cachedValue.from.cache.count,1756058168054000000,1756058221216000000,919
workspaceModel.loading.total.ms,1756058168054000000,1756058221216000000,154
workspaceModel.pre.handlers.ms,1756058168054000000,1756058221216000000,0
workspaceModel.workspaceFileIndexData.instances.count,1756058168054000000,1756058221216000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1756058168054000000,1756058221216000000,0
workspaceModel.update.unloaded.entities.ms,1756058168054000000,1756058221216000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1756058168054000000,1756058221216000000,995
workspaceModel.workspaceFileIndexData.init.ms,1756058168054000000,1756058221216000000,62
workspaceModel.full.replace.project.model.ms,1756058168054000000,1756058221216000000,4
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1756058168054000000,1756058221216000000,0
workspaceModel.loading.from.cache.ms,1756058168054000000,1756058221216000000,145
workspaceModel.entityStorageSnapshotImpl.instances.count,1756058168054000000,1756058221216000000,19
workspaceModel.initializing.ms,1756058168054000000,1756058221216000000,4
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1756058168054000000,1756058221216000000,3
workspaceModel.updates.count,1756058168054000000,1756058221216000000,3
workspaceModel.on.changed.ms,1756058168054000000,1756058221216000000,9
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1756058168054000000,1756058221216000000,117
workspaceModel.on.before.changed.ms,1756058168054000000,1756058221216000000,21
workspaceModel.check.recursive.update.ms,1756058168054000000,1756058221216000000,0
workspaceModel.cachedValueWithParameters.clear.count,1756058168054000000,1756058221216000000,0
workspaceModel.updates.precise.ms,1756058168054000000,1756058221216000000,11
