Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;30.51;100.00%;511;63826
/data/project/components;8.96;29.37%;157;19054
/data/project/components/ui;4.84;15.88%;93;12137
/data/project/lcov-report;5.94;19.48%;164;20952
/data/project/lcov-report/components;3.39;11.12%;74;9694
/data/project/lcov-report/components/ui;2.08;6.81%;47;6157
/data/project/lcov-report/app;0.94;3.09%;49;6419
/data/project/lcov-report/app/components;0.85;2.80%;45;5895
/data/project/lcov-report/app/components/ui;0.30;0.98%;15;1965
/data/project/lcov-report/app/components/layout;0.23;0.75%;15;1965
/data/project/lcov-report/app/components/branding;0.22;0.72%;11;1441
/data/project/lcov-report/app/components/branding/components;0.07;0.24%;3;393
/data/project/lcov-report/app/components/branding/tokens;0.06;0.19%;4;524
/data/project/lcov-report/app/components/core;0.10;0.34%;4;524
/data/project/lcov-report/app/auth/login;0.03;0.09%;2;262
/data/project/lcov-report/hooks;0.77;2.52%;18;2358
/data/project/lcov-report/lib;0.46;1.52%;14;1834
/data/project/lcov-report/lib/schemas;0.13;0.44%;3;393
/data/project/lcov-report/contexts;0.06;0.20%;2;262
/data/project/app;4.07;13.33%;97;12482
/data/project/app/components;3.20;10.50%;86;11040
/data/project/app/components/ui;1.56;5.12%;29;3778
/data/project/app/components/branding;0.71;2.32%;20;2425
/data/project/app/components/branding/components;0.25;0.80%;5;639
/data/project/app/components/branding/tokens;0.16;0.53%;7;893
/data/project/app/components/layout;0.67;2.20%;30;3915
/data/project/app/components/core;0.26;0.86%;7;914
/data/project/app/docs;0.54;1.76%;4;520
/data/project/app/docs/components;0.40;1.31%;3;390
/data/project/app/docs/components/ui;0.17;0.56%;1;130
/data/project/app/docs/components/core;0.12;0.41%;1;130
/data/project/app/docs/components/layout;0.10;0.34%;1;130
/data/project/app/auth/login;0.10;0.32%;3;392
/data/project/lib;2.25;7.36%;28;3556
/data/project/lib/schemas;0.18;0.59%;5;639
/data/project/lib/supabase;0.00;0.01%;1;123
/data/project/hooks;2.15;7.06%;39;4449
/data/project/scripts;0.28;0.93%;1;155
/data/project/contexts;0.11;0.35%;3;392
/data/project/docs;0.06;0.20%;0;8
/data/project/.claude;0.05;0.16%;0;10
/data/project/__tests__;0.05;0.16%;4;260
/data/project/.github/workflows;0.03;0.10%;0;8
/data/project/supabase;0.00;0.01%;0;56
/data/project/supabase/migrations;0.00;0.01%;0;40
/data/project/.cursor/rules;0.00;0.00%;0;40
