Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
InjectedReferences;General;Injected references;;LOCAL;11.56;37.90%;0;576
JSUnusedAssignment;JavaScript and TypeScript/Unused symbols;Unused assignment;JavaScript;LOCAL;3.68;12.06%;0;484
KarmaConfigFile;JavaScript and TypeScript/Unit testing;Invalid Karma configuration file;JavaScript;LOCAL;1.63;5.33%;0;485
JSDeprecatedSymbols;JavaScript and TypeScript/General;Deprecated symbol used;JavaScript;LOCAL;1.54;5.05%;0;484
Eslint;JavaScript and TypeScript/Code quality tools;ESLint;JavaScript;LOCAL;1.42;4.66%;480;484
JSUnusedLocalSymbols;JavaScript and TypeScript/Unused symbols;Unused local symbol;JavaScript;LOCAL;1.27;4.16%;5;484
JSAccessibilityCheck;JavaScript and TypeScript/General;Inaccessible @private and @protected members referenced;JavaScript;LOCAL;1.16;3.80%;0;484
HardcodedPasswords;Security;Hardcoded passwords;;LOCAL;0.99;3.26%;0;576
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;0.89;2.93%;1;1
JSPotentiallyInvalidConstructorUsage;JavaScript and TypeScript/Probable bugs;Potentially invalid constructor usage;JavaScript;LOCAL;0.58;1.90%;0;484
JSPrimitiveTypeWrapperUsage;JavaScript and TypeScript/General;Primitive type object wrapper used;JavaScript;LOCAL;0.50;1.65%;0;484
JSSuspiciousNameCombination;JavaScript and TypeScript/Probable bugs;Suspicious variable/parameter name combination;JavaScript;LOCAL;0.48;1.57%;0;484
NpmVulnerableApiCode;JavaScript and TypeScript/Security;Vulnerable API usage;JavaScript;LOCAL;0.39;1.28%;0;484
TypeScriptRedundantGenericType;JavaScript and TypeScript/TypeScript;Redundant type arguments;TypeScript;LOCAL;0.31;1.03%;0;484
JSConstantReassignment;JavaScript and TypeScript/Validity issues;Attempt to assign to const or readonly variable;JavaScript;LOCAL;0.31;1.02%;0;484
JSObjectNullOrUndefined;JavaScript and TypeScript/Control flow issues;Object is 'null' or 'undefined';JavaScript;LOCAL;0.22;0.71%;0;485
JSVoidFunctionReturnValueUsed;JavaScript and TypeScript/Probable bugs;Void function return value used;JavaScript;LOCAL;0.21;0.68%;0;484
UnnecessaryLocalVariableJS;JavaScript and TypeScript/Data flow;Redundant local variable;JavaScript;LOCAL;0.20;0.67%;2;485
NodeCoreCodingAssistance;JavaScript and TypeScript/Node.js;Unresolved Node.js APIs;JavaScript;LOCAL;0.20;0.65%;0;484
AngularInaccessibleSymbol;Angular;Inaccessible component member or directive input;none;LOCAL;0.19;0.61%;0;576
TypeScriptUMDGlobal;JavaScript and TypeScript/TypeScript;Referenced UMD global variable;JavaScript;LOCAL;0.17;0.56%;0;484
TypeScriptSmartCast;JavaScript and TypeScript/TypeScript;Narrowed type;TypeScript;LOCAL;0.15;0.50%;0;484
PointlessBooleanExpressionJS;JavaScript and TypeScript/Control flow issues;Pointless statement or boolean expression;JavaScript;LOCAL;0.14;0.45%;0;484
ES6UnusedImports;JavaScript and TypeScript/Imports and dependencies;Unused import;JavaScript;LOCAL;0.13;0.44%;0;484
WebpackConfigHighlighting;JavaScript and TypeScript/General;Webpack config compliance with JSON Schema;JavaScript;LOCAL;0.13;0.44%;0;484
