"Dependency","Version","License"
"@alloc/quick-lru","5.2.0","MIT"
"@emnapi/core","1.4.5","MIT"
"@emnapi/runtime","1.4.5","MIT"
"@emnapi/wasi-threads","1.0.4","MIT"
"@eslint-community/eslint-utils","4.7.0","MIT"
"@eslint-community/regexpp","4.12.1","MIT"
"@eslint/config-array","0.21.0","Apache-2.0"
"@eslint/config-helpers","0.3.1","Apache-2.0"
"@eslint/core","0.15.2","Apache-2.0"
"@eslint/js","9.33.0","MIT"
"@eslint/object-schema","2.1.6","Apache-2.0"
"@eslint/plugin-kit","0.3.5","Apache-2.0"
"@humanfs/core","0.19.1","Apache-2.0"
"@humanfs/node","0.16.6","Apache-2.0"
"@humanwhocodes/module-importer","1.0.1","Apache-2.0"
"@humanwhocodes/retry","0.3.1","Apache-2.0"
"@humanwhocodes/retry","0.4.3","Apache-2.0"
"@img/sharp-win32-x64","0.34.3","Apache-2.0 AND GPL-3.0-or-later AND LGPL-3.0-or-later"
"@isaacs/fs-minipass","4.0.1","ISC"
"@jridgewell/gen-mapping","0.3.13","MIT"
"@jridgewell/remapping","2.3.5","MIT"
"@jridgewell/resolve-uri","3.1.2","MIT"
"@jridgewell/sourcemap-codec","1.5.5","MIT"
"@jridgewell/trace-mapping","0.3.30","MIT"
"@napi-rs/wasm-runtime","0.2.12","MIT"
"@next/env","15.4.6","MIT"
"@next/eslint-plugin-next","15.4.6","MIT"
"@next/swc-win32-x64-msvc","15.4.6","MIT"
"@nodelib/fs.scandir","2.1.5","MIT"
"@nodelib/fs.stat","2.0.5","MIT"
"@nodelib/fs.walk","1.2.8","MIT"
"@nolyfill/is-core-module","1.0.39","MIT"
"@rtsao/scc","1.1.0","MIT"
"@rushstack/eslint-patch","1.12.0","MIT"
"@swc/helpers","0.5.15","Apache-2.0"
"@tailwindcss/node","4.1.12","MIT"
"@tailwindcss/oxide-win32-x64-msvc","4.1.12","MIT"
"@tailwindcss/oxide","4.1.12","MIT"
"@tybys/wasm-util","0.10.0","MIT"
"@types/estree","1.0.8","MIT"
"@types/json-schema","7.0.15","MIT"
"@types/json5","0.0.29","MIT"
"@typescript-eslint/eslint-plugin","8.39.1","MIT"
"@typescript-eslint/parser","8.39.1","MIT"
"@typescript-eslint/project-service","8.39.1","MIT"
"@typescript-eslint/scope-manager","8.39.1","MIT"
"@typescript-eslint/tsconfig-utils","8.39.1","MIT"
"@typescript-eslint/type-utils","8.39.1","MIT"
"@typescript-eslint/types","8.39.1","MIT"
"@typescript-eslint/typescript-estree","8.39.1","MIT"
"@typescript-eslint/utils","8.39.1","MIT"
"@typescript-eslint/visitor-keys","8.39.1","MIT"
"@unrs/resolver-binding-win32-x64-msvc","1.11.1","MIT"
"acorn-jsx","5.3.2","MIT"
"acorn","8.15.0","MIT"
"ajv","6.12.6","MIT"
"ansi-styles","4.3.0","MIT"
"argparse","2.0.1","Python-2.0"
"aria-query","5.3.2","Apache-2.0"
"array-buffer-byte-length","1.0.2","MIT"
"array-includes","3.1.9","MIT"
"array.prototype.findlast","1.2.5","MIT"
"array.prototype.findlastindex","1.2.6","MIT"
"array.prototype.flat","1.3.3","MIT"
"array.prototype.flatmap","1.3.3","MIT"
"array.prototype.tosorted","1.1.4","MIT"
"arraybuffer.prototype.slice","1.0.4","MIT"
"ast-types-flow","0.0.8","MIT"
