# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1756309588262000000,1756309590268000000,0
VFS.invertedFileNameIndex.requests,1756309588262000000,1756309590268000000,0
VFS.fileByIdCache.misses,1756309588262000000,1756309590268000000,0
VFS.fileByIdCache.hits,1756309588262000000,1756309590268000000,0
AWTEventQueue.eventsDispatched,1756309588262000000,1756309590268000000,2
FlushQueue.queueSizeAvg,1756309588262000000,1756309590268000000,0.0
FlushQueue.waitingTime90PNs,1756309588262000000,1756309590268000000,68681727
FlushQueue.waitingTimeMaxNs,1756309588262000000,1756309590268000000,68681727
ReadAction.executionsCount,1756309588262000000,1756309590268000000,1
FlushQueue.executionTime90PNs,1756309588262000000,1756309590268000000,1744895
AWTEventQueue.dispatchTime90PNs,1756309588262000000,1756309590268000000,23068671
WriteAction.executionsCount,1756309588262000000,1756309590268000000,0
FlushQueue.queueSize90P,1756309588262000000,1756309590268000000,0
FlushQueue.executionTimeMaxNs,1756309588262000000,1756309590268000000,1744895
AWTEventQueue.dispatchTimeMaxNs,1756309588262000000,1756309590268000000,23068671
FlushQueue.queueSizeMax,1756309588262000000,1756309590268000000,0
FlushQueue.waitingTimeAvgNs,1756309588262000000,1756309590268000000,3.8649856E7
AWTEventQueue.dispatchTimeTotalNS,1756309588262000000,1756309590268000000,23244172
AWTEventQueue.dispatchTimeAvgNs,1756309588262000000,1756309590268000000,1.1652608E7
FlushQueue.executionTimeAvgNs,1756309588262000000,1756309590268000000,929152.0
FlushQueue.tasksExecuted,1756309588262000000,1756309590268000000,2
Indexing.cache.totalCacheMisses,1756309588262000000,1756309590268000000,0
Indexing.cache.totalCacheEvicted,1756309588262000000,1756309590268000000,0
Indexing.writesQueuedMax,1756309588262000000,1756309590268000000,0
Indexing.writesQueuedAvg,1756309588262000000,1756309590268000000,0.0
Indexing.cache.totalCacheAccesses,1756309588262000000,1756309590268000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1756309588262000000,1756309590268000000,0
Indexing.writesQueuedMin,1756309588262000000,1756309590268000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1756309588262000000,1756309590268000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1756309588262000000,1756309590268000000,0
Indexing.totalTimeIndexersSleptMs,1756309588262000000,1756309590268000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1756309588262000000,1756309590268000000,0
DirectByteBufferAllocator.disposed,1756309588262000000,1756309590268000000,154
DirectByteBufferAllocator.hits,1756309588262000000,1756309590268000000,3
DirectByteBufferAllocator.reclaimed,1756309588262000000,1756309590268000000,43
StorageLockContext.competingThreads.avg,1756309588262000000,1756309590268000000,0.5
FilePageCache.uncachedFileAccess,1756309588262000000,1756309590268000000,382
FilePageCache.disposedBuffers,1756309588262000000,1756309590268000000,197
FilePageCache.totalPageLoadsUs,1756309588262000000,1756309590268000000,433529
StorageLockContext.competingThreads.90P,1756309588262000000,1756309590268000000,1
MappedFileStorage.storages,1756309588262000000,1756309590268000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1756309588262000000,1756309590268000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1756309588262000000,1756309590268000000,41943040
FilePageCache.maxRegisteredFiles,1756309588262000000,1756309590268000000,538
StorageLockContext.competingThreads.max,1756309588262000000,1756309590268000000,1
FilePageCache.pageHits,1756309588262000000,1756309590268000000,0
MappedFileStorage.totalPagesMapped,1756309588262000000,1756309590268000000,0
FilePageCache.pageFastCacheHits,1756309588262000000,1756309590268000000,13667
FilePageCache.pageLoads,1756309588262000000,1756309590268000000,197
DirectByteBufferAllocator.misses,1756309588262000000,1756309590268000000,194
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1756309588262000000,1756309590268000000,41943040
FilePageCache.maxCacheSizeInBytes,1756309588262000000,1756309590268000000,203423744
FilePageCache.capacityInBytes,1756309588262000000,1756309590268000000,629145600
FilePageCache.totalPageDisposalsUs,1756309588262000000,1756309590268000000,2350
MappedFileStorage.totalBytesMapped,1756309588262000000,1756309590268000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1756309588262000000,1756309590268000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1756309588262000000,1756309590268000000,439919
cacheStateStorage.set.duration,1756309588262000000,1756309590268000000,0
cacheStateStorage.get.duration,1756309588262000000,1756309590268000000,0
cacheStateStorage.get.counter,1756309588262000000,1756309590268000000,2
cacheStateStorage.set.counter,1756309588262000000,1756309590268000000,0
DiskQueryRelay.tasksExecuted,1756309588262000000,1756309590268000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1756309588262000000,1756309590268000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1756309588262000000,1756309590268000000,0
DiskQueryRelay.tasksRequested,1756309588262000000,1756309590268000000,0
