Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;55.95;100.00%;1022;65198
/data/project/components;14.43;25.80%;424;18688
/data/project/components/ui;7.42;13.27%;199;11904
/data/project/lcov-report;9.94;17.76%;164;20474
/data/project/lcov-report/components;6.16;11.01%;74;9472
/data/project/lcov-report/components/ui;3.64;6.50%;47;6016
/data/project/lcov-report/app;1.90;3.39%;49;6272
/data/project/lcov-report/app/components;1.80;3.22%;45;5760
/data/project/lcov-report/app/components/ui;0.65;1.16%;15;1920
/data/project/lcov-report/app/components/layout;0.50;0.89%;15;1920
/data/project/lcov-report/app/components/branding;0.46;0.83%;11;1408
/data/project/lcov-report/app/components/branding/components;0.17;0.30%;3;384
/data/project/lcov-report/app/components/branding/tokens;0.12;0.22%;4;512
/data/project/lcov-report/app/components/core;0.19;0.34%;4;512
/data/project/lcov-report/app/auth/login;0.03;0.06%;2;256
/data/project/lcov-report/hooks;0.75;1.34%;18;2304
/data/project/lcov-report/lib;0.53;0.94%;14;1792
/data/project/lcov-report/lib/schemas;0.07;0.13%;3;384
/data/project/lcov-report/contexts;0.07;0.12%;2;256
/data/project/app;9.60;17.16%;135;12497
/data/project/app/components;4.77;8.52%;122;10953
/data/project/app/components/ui;2.89;5.16%;43;3705
/data/project/app/components/layout;0.74;1.32%;43;3840
/data/project/app/components/branding;0.69;1.24%;24;2376
/data/project/app/components/branding/components;0.19;0.34%;5;626
/data/project/app/components/branding/tokens;0.18;0.32%;7;875
/data/project/app/components/core;0.45;0.80%;12;1024
/data/project/app/docs;1.88;3.36%;5;640
/data/project/app/docs/components;1.83;3.27%;4;512
/data/project/app/docs/components/core;1.73;3.10%;2;256
/data/project/app/docs/components/core/components;0.08;0.15%;1;128
/data/project/app/docs/components/layout;0.05;0.09%;1;128
/data/project/app/docs/components/ui;0.05;0.08%;1;128
/data/project/app/auth/login;0.03;0.05%;4;384
/data/project/C:/Program Files/Git/data/project/.qodana;3.33;5.96%;37;1982
/data/project/C:/Program Files/Git/data/project/.qodana/log;3.08;5.51%;37;1823
/data/project/C:/Program Files/Git/data/project/.qodana/log/indexing-diagnostic;0.64;1.14%;19;1430
/data/project/C:/Program Files/Git/data/project/.qodana/log/indexing-diagnostic/project.15375f63;0.41;0.74%;19;1390
/data/project/C:/Program Files/Git/data/project/.qodana/log/qodana;0.00;0.00%;0;8
/data/project/C:/Program Files/Git/data/project/.qodana/projectStructure;0.19;0.34%;0;139
/data/project/lib;3.12;5.57%;53;3486
/data/project/lib/schemas;0.22;0.38%;7;626
/data/project/lib/supabase;0.00;0.00%;1;121
/data/project/hooks;3.05;5.45%;170;4361
/data/project/scripts;0.28;0.50%;1;153
/data/project/__tests__;0.15;0.26%;4;256
/data/project/contexts;0.13;0.23%;14;384
/data/project/docs;0.04;0.07%;0;8
/data/project/.claude;0.04;0.07%;0;10
/data/project/supabase;0.01;0.02%;0;56
/data/project/supabase/migrations;0.01;0.02%;0;40
/data/project/.github/workflows;0.01;0.01%;0;8
/data/project/.cursor/rules;0.00;0.00%;0;40
