Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
JSDeprecatedSymbols;JavaScript and TypeScript/General;Deprecated symbol used;JavaScript;LOCAL;34.44;26.59%;2;342
InjectedReferences;General;Injected references;;LOCAL;20.33;15.70%;0;510
JSSuspiciousNameCombination;JavaScript and TypeScript/Probable bugs;Suspicious variable/parameter name combination;JavaScript;LOCAL;11.53;8.90%;0;344
JSVoidFunctionReturnValueUsed;JavaScript and TypeScript/Probable bugs;Void function return value used;JavaScript;LOCAL;9.72;7.50%;0;344
JSUnusedAssignment;JavaScript and TypeScript/Unused symbols;Unused assignment;JavaScript;LOCAL;8.69;6.71%;0;344
Eslint;JavaScript and TypeScript/Code quality tools;ESLint;JavaScript;LOCAL;6.36;4.92%;340;344
JSUnusedLocalSymbols;JavaScript and TypeScript/Unused symbols;Unused local symbol;JavaScript;LOCAL;5.37;4.14%;29;344
KarmaConfigFile;JavaScript and TypeScript/Unit testing;Invalid Karma configuration file;JavaScript;LOCAL;3.10;2.39%;0;345
JSPotentiallyInvalidConstructorUsage;JavaScript and TypeScript/Probable bugs;Potentially invalid constructor usage;JavaScript;LOCAL;2.88;2.23%;0;344
JSAccessibilityCheck;JavaScript and TypeScript/General;Inaccessible @private and @protected members referenced;JavaScript;LOCAL;2.66;2.05%;0;344
HardcodedPasswords;Security;Hardcoded passwords;;LOCAL;1.93;1.49%;0;509
JsCoverageInspection;Code Coverage;Check JavaScript and TypeScript source code coverage;JavaScript;GLOBAL_SIMPLE;1.74;1.34%;473;438
UnnecessaryLocalVariableJS;JavaScript and TypeScript/Data flow;Redundant local variable;JavaScript;LOCAL;1.57;1.21%;2;345
TypeScriptRedundantGenericType;JavaScript and TypeScript/TypeScript;Redundant type arguments;TypeScript;LOCAL;1.51;1.16%;0;344
JSIgnoredPromiseFromCall;JavaScript and TypeScript/Async code and promises;Result of method call returning a promise is ignored;JavaScript;LOCAL;1.42;1.09%;4;344
JSPrimitiveTypeWrapperUsage;JavaScript and TypeScript/General;Primitive type object wrapper used;JavaScript;LOCAL;1.38;1.07%;0;344
AngularInaccessibleSymbol;Angular;Inaccessible component member or directive input;none;LOCAL;0.94;0.73%;0;510
PointlessBooleanExpressionJS;JavaScript and TypeScript/Control flow issues;Pointless statement or boolean expression;JavaScript;LOCAL;0.93;0.72%;0;344
TypeScriptUMDGlobal;JavaScript and TypeScript/TypeScript;Referenced UMD global variable;JavaScript;LOCAL;0.88;0.68%;0;344
JSClosureCompilerSyntax;JavaScript and TypeScript/General;Incorrect usage of JSDoc tags;JavaScript;LOCAL;0.88;0.68%;0;345
NpmVulnerableApiCode;JavaScript and TypeScript/Security;Vulnerable API usage;JavaScript;LOCAL;0.87;0.67%;0;344
ES6MissingAwait;JavaScript and TypeScript/Async code and promises;Missing await for an async function call;JavaScript;LOCAL;0.85;0.66%;0;344
SuspiciousTypeOfGuard;JavaScript and TypeScript/Control flow issues;Unsound type guard check;JavaScript;LOCAL;0.84;0.65%;2;344
JSConstantReassignment;JavaScript and TypeScript/Validity issues;Attempt to assign to const or readonly variable;JavaScript;LOCAL;0.75;0.58%;0;344
